TIMESTAMP,STATION,RELHUM2MAVG,VPDEFAVG,PRECIP,SRAVG,VWC10CM,WSPD2MAVG,TEMP2MMIN,TEMP2MMAX,SOILTMP10AVG
2020-01-01 00:00:00,Manhattan,58.1,0.28,0.0,123.02,0.40238,6.62,24.75,42.8,36.27
2020-01-02 00:00:00,Manhattan,61.45,0.38,0.0,123.57,0.40148,6.69,22.78,53.44,36.29
2020-01-03 00:00:00,Manhattan,71.8,0.28,0.0,94.71,0.40215,5.61,33.53,54.75,38.01
2020-01-04 00:00:00,Manhattan,67.53,0.27,0.0,125.58,0.40085,7.92,27.45,46.96,37.95
2020-01-05 00:00:00,Manhattan,50.7,0.38,0.0,125.01,0.39903,6.8,23.05,46.6,36.98
2020-01-06 00:00:00,Manhattan,53.22,0.44,0.0,129.45,0.39866,7.78,24.49,51.71,37.41
2020-01-07 00:00:00,Manhattan,64.07,0.29,0.0,96.19,0.39758,4.61,23.04,48.79,36.88
2020-01-08 00:00:00,Manhattan,55.44,0.41,0.0,126.11,0.39714,4.25,25.0,55.51,36.77
2020-01-09 00:00:00,Manhattan,51.08,0.57,0.0,112.63,0.39687,8.79,26.46,58.95,36.89
2020-01-10 00:00:00,Manhattan,52.16,0.58,0.0,104.09,0.39857,9.13,35.01,55.38,38.91
2020-01-11 00:00:00,Manhattan,83.34,0.09,8.13,8.73,0.40248,6.51,17.4,37.22,37.5
2020-01-12 00:00:00,Manhattan,79.47,0.07,0.0,146.76,0.40352,3.4,10.54,25.47,35.4
2020-01-13 00:00:00,Manhattan,97.53,0.01,0.0,17.1,0.40053,2.48,14.23,29.89,34.7
2020-01-14 00:00:00,Manhattan,99.78,0.0,0.51,36.88,0.40267,2.53,26.46,39.29,34.55
2020-01-15 00:00:00,Manhattan,93.32,0.06,0.0,99.3,0.40973,3.13,32.05,45.73,35.47
2020-01-16 00:00:00,Manhattan,85.98,0.06,0.0,62.65,0.41031,8.79,13.86,42.71,36.98
2020-01-17 00:00:00,Manhattan,60.66,0.13,0.0,93.63,0.40366,6.53,8.35,24.49,35.0
2020-01-18 00:00:00,Manhattan,93.89,0.03,1.02,12.99,0.40509,5.7,23.27,37.94,34.52
2020-01-19 00:00:00,Manhattan,66.03,0.19,0.25,140.71,0.41013,9.84,20.59,38.44,34.59
2020-01-20 00:00:00,Manhattan,59.23,0.14,0.0,136.54,0.40541,6.78,11.3,26.46,34.43
